date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:11	104/104	---M-Z	200	added ('OK')	text/plain	date:Fri,%2004%20Aug%202017%2009:26:16%20GMT	http://createcaptivate.co.uk/robots.txt		(from )
10:26:11	15572/15572	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202017%2009:26:16%20GMT	http://createcaptivate.co.uk/	C:/My%20Web%20Sites/Create%20Captivate/createcaptivate.co.uk/index.html	(from )
10:26:12	47938/47938	---M-Z	200	added ('OK')	text/css	etag:%223d95bd3449cd173d0d569b6a9a8f8d0f%22	https://daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/css/create-captivate.webflow.d6b30c4c5.min.css	C:/My%20Web%20Sites/Create%20Captivate/daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/css/create-captivate.webflow.d6b30c4c5.min.css	(from http://createcaptivate.co.uk/)
10:26:12	17698/17698	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	C:/My%20Web%20Sites/Create%20Captivate/ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	(from http://createcaptivate.co.uk/)
10:26:12	5267/5267	---M--	200	added ('OK')	application/javascript	etag:%22a89f4997162bf61e019b926e08682bdf%22	https://daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	C:/My%20Web%20Sites/Create%20Captivate/daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	(from http://createcaptivate.co.uk/)
10:26:13	1150/1150	---M--	200	added ('OK')	image/png	etag:%224317b39c8317bc1698e217f181ad9b57%22	https://daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/5769c96b685f9aff6593d2c4_favicon-32x32.png	C:/My%20Web%20Sites/Create%20Captivate/daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/5769c96b685f9aff6593d2c4_favicon-32x32.png	(from http://createcaptivate.co.uk/)
10:26:14	36873/36873	---M--	200	added ('OK')	image/jpeg	etag:%22878482eb265c673f45eddedaa328fd8f%22	https://daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/5769ca0c8a6044ef2ce35160_Fav2.jpg	C:/My%20Web%20Sites/Create%20Captivate/daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/5769ca0c8a6044ef2ce35160_Fav2.jpg	(from http://createcaptivate.co.uk/)
10:26:14	34398/34398	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2004%20Aug%202017%2009:26:19%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Create%20Captivate/connect.facebook.net/en_US/fbevents.js	(from http://createcaptivate.co.uk/)
10:26:15	63051/63051	---M--	200	added ('OK')	image/png	etag:%22750a3192cb99975efa451cb6c37e13ab%22	https://daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/57629cea2dfd0800251d1f65_CreateCapticateLogo1.png	C:/My%20Web%20Sites/Create%20Captivate/daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/57629cea2dfd0800251d1f65_CreateCapticateLogo1.png	(from http://createcaptivate.co.uk/)
10:26:15	2751/2751	---M--	200	added ('OK')	image/jpeg	etag:%22e1c345405ddf5bdae8fe684a1e7a3b84%22	https://daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/5769685b8a6044ef2ce26e27_CC%20Brands3.jpg	C:/My%20Web%20Sites/Create%20Captivate/daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/5769685b8a6044ef2ce26e27_CC%20Brands3.jpg	(from http://createcaptivate.co.uk/)
10:26:15	3415/3415	---M--	200	added ('OK')	image/jpeg	etag:%22d67303273534d70f6e46d8bdf08ab872%22	https://daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/5769683e225f3f9e094c2d28_CC%20Brands2.jpg	C:/My%20Web%20Sites/Create%20Captivate/daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/5769683e225f3f9e094c2d28_CC%20Brands2.jpg	(from http://createcaptivate.co.uk/)
10:26:16	2548/2548	---M--	200	added ('OK')	image/jpeg	etag:%22069142c1796e8efb8f1c338d90348e18%22	https://daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/5769686f225f3f9e094c2e54_CC%20Brands4.jpg	C:/My%20Web%20Sites/Create%20Captivate/daks2k3a4ib2z.cloudfront.net/576187c159a28bfc6865ccea/5769686f225f3f9e094c2e54_CC%20Brands4.jpg	(from http://createcaptivate.co.uk/)
